Date,Open,High,Low,Close,Adjusted Close,Volume
03-08-2018,11297.7998046875,11368.0,11294.5498046875,11360.7998046875,11360.7998046875,218300
02-08-2018,11328.900390625,11328.900390625,11234.9501953125,11244.7001953125,11244.7001953125,210000
01-08-2018,11359.7998046875,11390.5498046875,11313.5498046875,11346.2001953125,11346.2001953125,269700
31-07-2018,11311.0498046875,11366.0,11267.75,11356.5,11356.5,256500
30-07-2018,11296.650390625,11328.099609375,11261.4501953125,11319.5498046875,11319.5498046875,278800
27-07-2018,11232.75,11283.400390625,11210.25,11278.349609375,11278.349609375,314600
26-07-2018,11132.9501953125,11185.849609375,11125.7001953125,11167.2998046875,11167.2998046875,365400
25-07-2018,11148.400390625,11157.150390625,11113.25,11132.0,11132.0,205900
24-07-2018,11109.0,11143.400390625,11092.5,11134.2998046875,11134.2998046875,205800
23-07-2018,11019.849609375,11093.400390625,11010.9501953125,11084.75,11084.75,229100
20-07-2018,10963.5,11030.25,10946.2001953125,11010.2001953125,11010.2001953125,187300
19-07-2018,10999.5,11006.5,10935.4501953125,10957.099609375,10957.099609375,215400
18-07-2018,11060.2001953125,11076.2001953125,10956.2998046875,10980.4501953125,10980.4501953125,225500
17-07-2018,10939.650390625,11018.5,10925.599609375,11008.0498046875,11008.0498046875,210600
16-07-2018,11018.9501953125,11019.5,10926.25,10936.849609375,10936.849609375,210500
13-07-2018,11056.900390625,11071.349609375,10999.75,11018.900390625,11018.900390625,0
12-07-2018,11006.9501953125,11078.2998046875,10999.650390625,11023.2001953125,11023.2001953125,248300
11-07-2018,10956.400390625,10976.650390625,10923.0,10948.2998046875,10948.2998046875,222300
10-07-2018,10902.75,10956.900390625,10876.650390625,10947.25,10947.25,197000
09-07-2018,10838.2998046875,10860.349609375,10807.150390625,10852.900390625,10852.900390625,183600
06-07-2018,10744.150390625,10816.349609375,10735.0498046875,10772.650390625,10772.650390625,0
05-07-2018,10786.0498046875,10786.0498046875,10726.25,10749.75,10749.75,220500
04-07-2018,10715.0,10777.150390625,10677.75,10769.900390625,10769.900390625,173900
03-07-2018,10668.599609375,10713.2998046875,10630.25,10699.900390625,10699.900390625,202100
02-07-2018,10732.349609375,10736.150390625,10604.650390625,10657.2998046875,10657.2998046875,295400
29-06-2018,10612.849609375,10723.0498046875,10612.349609375,10714.2998046875,10714.2998046875,242800
28-06-2018,10660.7998046875,10674.2001953125,10557.7001953125,10589.099609375,10589.099609375,352300
27-06-2018,10785.5,10785.5,10652.400390625,10671.400390625,10671.400390625,246000
26-06-2018,10742.7001953125,10805.25,10732.5498046875,10769.150390625,10769.150390625,220000
25-06-2018,10822.900390625,10831.0498046875,10753.0498046875,10762.4501953125,10762.4501953125,229600
22-06-2018,10742.7001953125,10837.0,10710.4501953125,10821.849609375,10821.849609375,229800
21-06-2018,10808.4501953125,10809.599609375,10725.900390625,10741.099609375,10741.099609375,223600
20-06-2018,10734.650390625,10781.7998046875,10724.0498046875,10772.0498046875,10772.0498046875,193500
19-06-2018,10789.4501953125,10789.4501953125,10701.2001953125,10710.4501953125,10710.4501953125,224500
18-06-2018,10830.2001953125,10830.2001953125,10787.349609375,10799.849609375,10799.849609375,196600
15-06-2018,10808.650390625,10834.0,10755.400390625,10817.7001953125,10817.7001953125,305400
14-06-2018,10832.900390625,10833.7001953125,10773.5498046875,10808.0498046875,10808.0498046875,184300
13-06-2018,10887.5,10893.25,10842.650390625,10856.7001953125,10856.7001953125,213400
12-06-2018,10816.150390625,10856.5498046875,10789.400390625,10842.849609375,10842.849609375,198300
11-06-2018,10781.849609375,10850.5498046875,10777.0498046875,10786.9501953125,10786.9501953125,211400
08-06-2018,10736.400390625,10779.4501953125,10709.0498046875,10767.650390625,10767.650390625,209400
07-06-2018,10722.599609375,10818.0,10722.599609375,10768.349609375,10768.349609375,220900
06-06-2018,10603.4501953125,10698.349609375,10587.5,10684.650390625,10684.650390625,189900
05-06-2018,10630.7001953125,10633.150390625,10550.900390625,10593.150390625,10593.150390625,167700
04-06-2018,10765.9501953125,10770.2998046875,10618.349609375,10628.5,10628.5,203800
01-06-2018,10738.4501953125,10764.75,10681.5,10696.2001953125,10696.2001953125,220600
31-05-2018,10670.099609375,10763.7998046875,10620.400390625,10736.150390625,10736.150390625,610300
30-05-2018,10579.0,10648.7001953125,10558.4501953125,10614.349609375,10614.349609375,238700
29-05-2018,10689.400390625,10717.25,10616.099609375,10633.2998046875,10633.2998046875,225800
28-05-2018,10648.349609375,10709.7998046875,10640.5498046875,10688.650390625,10688.650390625,232600
25-05-2018,10533.0498046875,10628.0498046875,10524.0,10605.150390625,10605.150390625,260800
24-05-2018,10464.849609375,10535.150390625,10419.7998046875,10513.849609375,10513.849609375,297600
23-05-2018,10521.099609375,10533.5498046875,10417.7998046875,10430.349609375,10430.349609375,290900
22-05-2018,10518.4501953125,10558.599609375,10490.5498046875,10536.7001953125,10536.7001953125,241700
