scrip,expiry,lot_size,price,margin_nrml_pctg,margin_nrml,margin_mis,mwpl_pctg
REPCOHOME,26-JUL-18,900,582,12.5,65493,32746,7.55
REPCOHOME,30-AUG-18,900,582.2,12.55,65772,32886,7.55
REPCOHOME,27-SEP-18,900,588.45,12.51,66269,33134,7.55
RPOWER,26-JUL-18,13000,30.2,15.4,60448,30224,58.1
RPOWER,30-AUG-18,13000,30.4,15.4,60849,30424,58.1
RPOWER,27-SEP-18,13000,30.65,15.38,61285,30642,58.1
SAIL,26-JUL-18,12000,71.45,17.33,148545,74272,73.63
SAIL,30-AUG-18,12000,71.8,17.35,149460,74730,73.63
SAIL,27-SEP-18,12000,72.1,17.36,150210,75105,73.63
SBIN,26-JUL-18,3000,260.85,12.5,97837,48918,16.58
SBIN,30-AUG-18,3000,262.1,12.52,98445,49222,16.58
SBIN,27-SEP-18,3000,263.85,12.51,99037,49518,16.58
SHREECEM,26-JUL-18,50,16274.15,12.5,101717,50858,3.64
SHREECEM,30-AUG-18,50,16337.95,12.52,102299,51149,3.64
SHREECEM,27-SEP-18,50,16472.4,12.5,102975,51487,3.64
SIEMENS,26-JUL-18,500,945.05,12.51,59111,29555,6.92
SIEMENS,30-AUG-18,500,948.95,12.53,59453,29726,6.92
SIEMENS,27-SEP-18,500,957.05,12.51,59856,29928,6.92
SOUTHBANK,26-JUL-18,33141,21.75,15.16,109282,54641,55.77
SOUTHBANK,30-AUG-18,33141,21.95,15.11,109945,54972,55.77
SOUTHBANK,27-SEP-18,33141,22.05,15.11,110442,55221,55.77
SREINFRA,26-JUL-18,7000,58.8,18.13,74620,37310,57.59
SREINFRA,30-AUG-18,7000,59.2,18.13,75110,37555,57.59
SREINFRA,27-SEP-18,7000,59.6,18.12,75600,37800,57.59
SRF,26-JUL-18,500,1575,14.39,113315,56657,22.25
SRF,30-AUG-18,500,1580.3,14.42,113962,56981,22.25
SRF,27-SEP-18,500,1592.4,14.4,114675,57337,22.25
SRTRANSFIN,26-JUL-18,600,1186.25,17.35,123493,61746,19.87
SRTRANSFIN,30-AUG-18,600,1191,17.39,124242,62121,19.87
SRTRANSFIN,27-SEP-18,600,1185,17.52,124554,62277,19.87
STAR,26-JUL-18,800,341.95,18.02,49303,24651,57.59
STAR,30-AUG-18,800,343.7,18.04,49613,24806,57.59
STAR,27-SEP-18,800,346.95,18,49949,24974,57.59
SUNPHARMA,26-JUL-18,1100,545.3,12.51,75047,37523,25.37
SUNPHARMA,30-AUG-18,1100,548.15,12.52,75512,37756,25.37
SUNPHARMA,27-SEP-18,1100,552.55,12.51,76007,38003,25.37
SUNTV,26-JUL-18,1000,753.95,13.37,100817,50408,42.94
SUNTV,30-AUG-18,1000,757.45,13.39,101432,50716,42.94
SUNTV,27-SEP-18,1000,755.4,13.46,101680,50840,42.94
SUZLON,26-JUL-18,45000,7.05,13.51,42862,21431,44.18
SUZLON,30-AUG-18,45000,7.1,13.59,43425,21712,44.18
SUZLON,27-SEP-18,45000,7.15,13.53,43537,21768,44.18
SYNDIBANK,26-JUL-18,9000,39,15.79,55440,27720,48.44
SYNDIBANK,30-AUG-18,9000,39.15,15.83,55777,27888,48.44
SYNDIBANK,27-SEP-18,9000,39.55,15.8,56227,28113,48.44
TATACHEM,26-JUL-18,750,665.55,12.53,62525,31262,12.48
TATACHEM,30-AUG-18,750,668.75,12.54,62908,31454,12.48
TATACHEM,27-SEP-18,750,676.05,12.5,63391,31695,12.48
TATACOMM,26-JUL-18,800,548.6,27.72,121664,60832,25.44
TATACOMM,30-AUG-18,800,547.4,27.79,121704,60852,25.44
TATACOMM,27-SEP-18,800,556.65,27.71,123376,61688,25.44
TATAELXSI,26-JUL-18,800,1378.2,12.5,137840,68920,41.22
TATAELXSI,30-AUG-18,800,1386.95,12.51,138766,69383,41.22
TATAELXSI,27-SEP-18,800,1393.7,12.51,139492,69746,41.22
TATAGLOBAL,26-JUL-18,2250,233,14.56,76320,38160,30.83
TATAGLOBAL,30-AUG-18,2250,233.55,14.6,76741,38370,30.83
TATAGLOBAL,27-SEP-18,2250,234.8,14.6,77152,38576,30.83
TATAMOTORS,26-JUL-18,1500,253.1,13.25,50287,25143,36
TATAMOTORS,30-AUG-18,1500,254.45,13.26,50613,25306,36
TATAMOTORS,27-SEP-18,1500,255.2,13.28,50850,25425,36
TATAMTRDVR,26-JUL-18,2800,139.8,13.33,52164,26082,35.39
TATAMTRDVR,30-AUG-18,2800,140.5,13.34,52486,26243,35.39
TATAMTRDVR,27-SEP-18,2800,141.85,13.31,52871,26435,35.39
TATAPOWER,26-JUL-18,9000,68.25,12.65,77692,38846,15.11
TATAPOWER,30-AUG-18,9000,68.6,12.67,78210,39105,15.11
TATAPOWER,27-SEP-18,9000,69.15,12.64,78637,39318,15.11
TATASTEEL,26-JUL-18,1061,499.85,14.13,74951,37475,41.9
TATASTEEL,30-AUG-18,1061,502.65,14.15,75439,37719,41.9
TATASTEEL,27-SEP-18,1061,505.7,14.14,75866,37933,41.9
TCS,26-JUL-18,500,1985.15,12.5,124113,62056,10.72
TCS,30-AUG-18,500,1983.8,12.56,124595,62297,10.72
TCS,27-SEP-18,500,2008.95,12.51,125638,62819,10.72
TECHM,26-JUL-18,1200,629.45,12.51,94503,47251,18.54
TECHM,30-AUG-18,1200,632.9,12.52,95106,47553,18.54
TECHM,27-SEP-18,1200,635,12.54,95544,47772,18.54
TITAN,26-JUL-18,750,865.5,12.57,81618,40809,24.74
TITAN,30-AUG-18,750,870.1,12.59,82128,41064,24.74
TITAN,27-SEP-18,750,872.4,12.61,82492,41246,24.74
TORNTPHARM,26-JUL-18,500,1424.2,12.51,89110,44555,6.7
TORNTPHARM,30-AUG-18,500,1429.75,12.54,89618,44809,6.7
TORNTPHARM,27-SEP-18,500,1443.45,12.51,90256,45128,6.7
TORNTPOWER,26-JUL-18,3000,222.95,12.88,86122,43061,5.67
TORNTPOWER,30-AUG-18,3000,224.15,12.89,86692,43346,5.67
TORNTPOWER,27-SEP-18,3000,225.9,12.87,87225,43612,5.67
TV18BRDCST,26-JUL-18,8500,44.85,31.62,120530,60265,50.8
TV18BRDCST,30-AUG-18,8500,45.1,31.64,121295,60647,50.8
TV18BRDCST,27-SEP-18,8500,45.5,31.6,122230,61115,50.8
TVSMOTOR,26-JUL-18,1000,563.6,12.52,70540,35270,19.42
TVSMOTOR,30-AUG-18,1000,561.2,12.6,70710,35355,19.42
TVSMOTOR,27-SEP-18,1000,570.9,12.51,71435,35717,19.42
UBL,26-JUL-18,700,1118.2,14.08,110215,55107,14.19
UBL,30-AUG-18,700,1124.15,14.09,110913,55456,14.19
UBL,27-SEP-18,700,1136.25,14.05,111735,55867,14.19
UJJIVAN,26-JUL-18,1600,371.45,12.51,74372,37186,20.42
UJJIVAN,30-AUG-18,1600,373.35,12.53,74828,37414,20.42
UJJIVAN,27-SEP-18,1600,375.65,12.52,75252,37626,20.42
ULTRACEMCO,26-JUL-18,200,3863.9,12.5,96599,48299,12.83
ULTRACEMCO,30-AUG-18,200,3879.2,12.52,97154,48577,12.83
ULTRACEMCO,27-SEP-18,200,3910.85,12.5,97792,48896,12.83
UNIONBANK,26-JUL-18,6000,76.6,16.27,74760,37380,59.39
UNIONBANK,30-AUG-18,6000,77,16.27,75180,37590,59.39
UNIONBANK,27-SEP-18,6000,77.4,16.28,75600,37800,59.39
UPL,26-JUL-18,1200,554.15,12.52,83241,41620,34.59
UPL,30-AUG-18,1200,552.1,12.6,83466,41733,34.59
UPL,27-SEP-18,1200,551,12.66,83676,41838,34.59
VEDL,26-JUL-18,1750,208.65,12.65,46186,23093,20.09
VEDL,30-AUG-18,1750,209.45,12.67,46449,23224,20.09
VEDL,27-SEP-18,1750,211.1,12.66,46751,23375,20.09
VGUARD,26-JUL-18,3000,187.85,13.92,78457,39228,9.52
VGUARD,30-AUG-18,3000,185.5,14.09,78435,39217,9.52
VGUARD,27-SEP-18,3000,192.35,13.82,79762,39881,9.52
VOLTAS,26-JUL-18,1000,534.6,12.53,66980,33490,14.69
VOLTAS,30-AUG-18,1000,528.3,12.67,66945,33472,14.69
VOLTAS,27-SEP-18,1000,543.35,12.5,67927,33963,14.69
WIPRO,26-JUL-18,2400,286.65,12.53,86190,43095,21.8
WIPRO,30-AUG-18,2400,287.25,12.56,86622,43311,21.8
WIPRO,27-SEP-18,2400,289.8,12.54,87216,43608,21.8
WOCKPHARMA,26-JUL-18,900,566.4,28.38,144675,72337,62.07
WOCKPHARMA,30-AUG-18,900,570.1,28.38,145638,72819,62.07
WOCKPHARMA,27-SEP-18,900,575.15,28.36,146781,73390,62.07
YESBANK,26-JUL-18,1750,391.8,12.51,85750,42875,18.66
YESBANK,30-AUG-18,1750,393.65,12.52,86279,43139,18.66
YESBANK,27-SEP-18,1750,395.1,12.54,86686,43343,18.66
ZEEL,26-JUL-18,1300,521.75,12.52,84938,42469,12.37
ZEEL,30-AUG-18,1300,523.95,12.54,85432,42716,12.37
ZEEL,27-SEP-18,1300,529.1,12.51,86053,43026,12.37
